food,brand,categories,tyrosine_mg,phenylalanine_mg,fiber_g,protein_g,carbs_g,fat_g,polyphenol_flag,fermented_flag,dopamine_support_score,predicted_score
Premium Quality Xanthan Gum Baking Aid,Bob's Red Mill,undefined,0.0,0.0,864.0,123.0,864.0,0.0,0.0,0.0,86.4,47.7603457426768
Scandinavian Crispbread With Oat Bran Cracker,Gg,undefined,0.0,0.0,625.0,156.0,938.0,0.0,0.0,0.0,62.5,45.04979370438385
Original Taco Seasoning Mix,"French's,  Reckitt Benckiser  Inc.",undefined,0.0,0.0,278.0,0.0,1110.0,0.0,0.0,0.0,27.8,42.94574747244997
Premium Guar Gum,Bob's Red Mill,undefined,0.0,0.0,900.0,0.0,900.0,0.0,0.0,0.0,90.0,42.94574747244997
Fajita Seasoning Mix,Goya,undefined,0.0,0.0,278.0,0.0,833.0,0.0,0.0,0.0,27.8,42.94574747244997
Taco Authentic Latina Seasoning Mix,Goya,undefined,0.0,0.0,278.0,0.0,1110.0,0.0,0.0,0.0,27.8,42.94574747244997
Taco Seasoning Mix,"Foodtown,  Foodtown  Inc.",undefined,0.0,0.0,278.0,0.0,833.0,0.0,0.0,0.0,27.8,42.94574747244997
Premium Xanthan Gum,Bob's Red Mill,undefined,0.0,0.0,864.0,0.0,864.0,0.0,0.0,0.0,86.4,42.94574747244997
Picadillo Authentic Latina Seasoning Mix,Goya,undefined,0.0,0.0,278.0,0.0,1110.0,0.0,0.0,0.0,27.8,42.94574747244997
Taco Seasoning,Shur Saving,undefined,0.0,0.0,278.0,0.0,833.0,0.0,0.0,0.0,27.8,42.94574747244997
Dried Mushrooms,Melissa's,undefined,0.0,0.0,816.0,0.0,1220.0,0.0,0.0,0.0,81.60000000000001,42.94574747244997
Taco Seasoning Mix,Shoprite,undefined,0.0,0.0,278.0,0.0,833.0,0.0,0.0,0.0,27.8,42.94574747244997
Bubble Gum,Marukawa Conf. Co.  Ltd.,undefined,0.0,0.0,343.0,0.0,1370.0,0.0,0.0,0.0,34.300000000000004,42.94574747244997
Seasoning Mix,Durkee,undefined,0.0,0.0,278.0,0.0,1110.0,0.0,0.0,0.0,27.8,42.94574747244997
"Breakfast bar, Sweet and Salty Peanut Butter",Pure protein,"Dietary supplements, Bodybuilding supplements, Protein bars",0.0,0.0,500.0,1200.0,2400.0,800.0,0.0,0.0,50.0,41.239042107048675
Nishime Kombu Dried Seaweed,Hime,undefined,0.0,0.0,415.0,138.0,692.0,0.0,0.0,0.0,41.5,38.88209312894071
Organic Coconut Flour,Simply Roundy's,undefined,0.0,0.0,311.0,133.0,400.0,88.9,0.0,0.0,31.1,34.46022108950089
Certified Organic Chia Seeds,Sweet Heart,undefined,0.0,0.0,348.0,208.0,347.0,208.0,0.0,0.0,34.800000000000004,32.765159917684244
